,precision,recall,f1-score,support
Unhealthy,0.3953488372093023,0.3148148148148148,0.35051546391752575,54.0
Healthy,0.5795454545454546,0.6623376623376623,0.6181818181818182,77.0
accuracy,0.5190839694656488,0.5190839694656488,0.5190839694656488,0.5190839694656488
macro avg,0.4874471458773785,0.48857623857623855,0.48434864104967196,131.0
weighted avg,0.5036170779336056,0.5190839694656488,0.507846069095774,131.0
